,city_id,city,country,city_lat,city_lng,temp,humidity,cloudiness,wind_speed
0,1521230,Makīnsk,KZ,52.63,70.42,54.27,60,100,9.64
1,2964782,Dingle,IE,52.14,-10.27,62.6,88,40,4.7
2,3833367,Ushuaia,AR,-54.8,-68.3,39.2,80,75,8.05
3,964432,Port Alfred,ZA,-33.59,26.89,57.99,92,65,1.99
4,3372707,Ribeira Grande,PT,38.52,-28.7,68.0,68,40,16.11
5,2206939,Bluff,NZ,-46.6,168.33,49.55,89,23,9.42
6,4005370,Guadalupe y Calvo,MX,26.1,-106.97,80.47,22,1,1.12
7,1023309,Aliwal North,ZA,-30.69,26.71,42.62,49,0,10.36
8,3992842,Petatlán,MX,17.52,-101.27,87.8,62,5,6.93
9,2514651,Los Llanos de Aridane,ES,28.66,-17.92,75.36,57,40,4.7
10,2618795,Klaksvík,FO,62.23,-6.59,53.6,87,90,9.17
11,1506938,Erzin,RU,50.26,95.16,58.87,57,19,13.04
12,5848280,Kapaa,US,22.08,-159.32,72.86,83,20,13.87
13,1282256,Hithadhoo,MV,-0.6,73.08,85.01,75,95,14.16
14,5919815,Channel-Port aux Basques,CA,47.57,-59.14,51.62,63,58,8.84
15,3833367,Ushuaia,AR,-54.8,-68.3,39.2,80,75,8.05
16,3874787,Punta Arenas,CL,-53.15,-70.92,39.09,86,40,4.7
17,1015776,Bredasdorp,ZA,-34.53,20.04,55.4,87,17,5.93
18,2163355,Hobart,AU,-42.88,147.33,55.72,54,90,6.93
19,5880054,Barrow,US,71.29,-156.79,37.4,71,1,10.29
20,1685422,Sulangan,PH,11.14,123.72,83.59,78,100,11.14
21,964432,Port Alfred,ZA,-33.59,26.89,57.99,92,65,1.99
22,4030556,Rikitea,PF,-23.12,-134.97,75.6,82,61,14.18
23,1071296,Antalaha,MG,-14.9,50.28,73.33,78,98,8.08
24,546105,Nikolskoye,RU,59.7,30.79,76.59,50,28,6.71
25,2155415,New Norfolk,AU,-42.78,147.06,53.19,80,99,3.0
26,3385935,Tucuruí,BR,-3.77,-49.67,88.86,58,5,4.88
27,1691872,Ransang,PH,8.96,117.58,80.78,79,89,5.68
28,3883457,Lebu,CL,-37.62,-73.65,54.03,76,100,27.02
29,5954718,Flin Flon,CA,54.77,-101.86,66.2,82,75,3.36
30,2065594,Mount Isa,AU,-20.73,139.5,60.8,34,0,13.87
31,2630299,Hofn,IS,64.25,-15.21,50.0,93,90,14.99
32,212730,Kisangani,CD,0.52,25.2,76.62,76,97,2.15
33,3370903,Jamestown,SH,-15.94,-5.72,66.18,83,32,18.37
34,127319,Khorramshahr,IR,30.44,48.17,109.4,8,0,6.93
35,3833367,Ushuaia,AR,-54.8,-68.3,39.2,80,75,8.05
36,1497337,Noril'sk,RU,69.35,88.2,44.6,56,7,11.18
37,2023584,Imeni Poliny Osipenko,RU,52.42,136.49,46.72,83,100,10.27
38,3354898,Okahandja,NA,-21.98,16.92,66.2,11,0,5.82
39,186180,Moyale,ET,3.52,39.05,69.37,61,84,7.07
40,3874787,Punta Arenas,CL,-53.15,-70.92,39.09,86,40,4.7
41,4034551,Faanui,PF,-16.48,-151.75,80.42,79,89,15.1
42,2075265,Busselton,AU,-33.65,115.33,55.6,77,100,5.55
43,3369157,Cape Town,ZA,-33.93,18.42,59.0,72,20,6.93
44,6185377,Yellowknife,CA,62.46,-114.35,56.7,62,75,25.28
45,934322,Mahébourg,MU,-20.41,57.7,71.6,68,75,13.87
46,1525490,Belūsovka,KZ,50.13,82.52,60.8,44,40,11.18
47,2634096,Whitehaven,GB,54.55,-3.58,62.01,91,42,5.23
48,3874787,Punta Arenas,CL,-53.15,-70.92,39.09,86,40,4.7
49,6149996,Smithers,CA,54.78,-127.17,51.8,62,75,3.42
50,2075265,Busselton,AU,-33.65,115.33,55.6,77,100,5.55
51,2128975,Nemuro,JP,43.32,145.57,52.97,97,98,12.46
52,4032243,Vaini,TO,-21.2,-175.2,69.8,68,20,12.75
53,1524606,Derzhavīnsk,KZ,51.1,66.32,59.18,50,98,11.41
54,7872147,Sierning,AT,48.04,14.31,59.23,93,75,10.29
55,3369157,Cape Town,ZA,-33.93,18.42,59.0,72,20,6.93
56,1015776,Bredasdorp,ZA,-34.53,20.04,55.4,87,17,5.93
57,2537881,Safi,MA,32.3,-9.24,75.56,59,73,22.82
58,3424607,Tasiilaq,GL,65.61,-37.64,44.6,70,75,5.82
59,3448903,São João da Barra,BR,-21.64,-41.05,75.2,73,90,13.87
60,1645528,Denpasar,ID,-8.65,115.22,82.4,78,40,11.41
61,2112309,Katsuura,JP,35.13,140.3,74.08,88,75,10.29
62,5223593,Newport,US,41.49,-71.31,69.01,60,1,16.11
63,4074736,Marshall,US,34.38,-86.33,77.23,57,75,8.05
64,2729907,Longyearbyen,SJ,78.22,15.64,37.4,64,75,18.34
65,3407762,Amapá,BR,1.0,-52.0,82.18,85,50,2.08
66,3553478,Santa Fe,CU,23.13,-82.26,87.39,62,75,3.36
67,3652764,Puerto Ayora,EC,-0.74,-90.35,75.76,73,40,14.99
68,2015306,Tiksi,RU,71.69,128.87,52.07,60,100,11.39
69,3874787,Punta Arenas,CL,-53.15,-70.92,39.09,86,40,4.7
70,4149635,Callaway,US,30.15,-85.57,89.24,40,1,6.35
71,3896218,Castro,CL,-42.47,-73.77,46.58,100,100,6.93
72,5710360,Winnemucca,US,40.97,-117.74,64.4,34,1,4.7
73,2454955,Kolokani,ML,13.57,-8.03,105.31,18,53,11.81
74,666770,Slănic-Moldova,RO,46.2,26.43,73.54,64,40,10.29
75,3444105,San Joaquin,BO,-16.38,-58.39,87.37,42,26,4.41
76,530196,Malye Derbety,RU,47.95,44.68,76.46,26,99,12.03
77,286245,Sur,OM,22.57,59.53,90.68,58,87,10.78
78,1015776,Bredasdorp,ZA,-34.53,20.04,55.4,87,17,5.93
79,5563839,Fortuna,US,40.6,-124.16,59.22,93,75,3.36
80,5848280,Kapaa,US,22.08,-159.32,72.86,83,20,13.87
81,4030556,Rikitea,PF,-23.12,-134.97,75.6,82,61,14.18
82,964420,Port Elizabeth,ZA,-33.92,25.57,55.4,93,16,9.17
83,1252795,Yanam,IN,16.73,82.22,86.0,74,75,9.17
84,4030556,Rikitea,PF,-23.12,-134.97,75.6,82,61,14.18
85,4020109,Atuona,PF,-9.8,-139.03,79.79,76,43,13.15
86,3421719,Narsaq,GL,60.92,-46.05,44.6,52,75,8.05
87,3419842,Sisimiut,GL,66.94,-53.67,38.19,77,100,7.4
88,2077963,Albany,AU,-35.02,117.89,57.2,71,90,8.05
89,2017155,Saskylakh,RU,71.92,114.08,53.28,74,70,10.54
90,5866583,Saint Paul Harbor,US,57.79,-152.41,50.0,81,1,4.94
91,3374462,Mindelo,CV,16.89,-24.98,86.0,58,3,10.29
92,2122090,Pevek,RU,69.7,170.31,38.84,85,0,2.33
93,3419842,Sisimiut,GL,66.94,-53.67,38.19,77,100,7.4
94,6185377,Yellowknife,CA,62.46,-114.35,56.7,62,75,25.28
95,5866583,Saint Paul Harbor,US,57.79,-152.41,50.0,81,1,4.94
96,2074865,Carnarvon,AU,-24.87,113.63,67.21,26,0,17.31
97,1895695,Kushima,JP,31.46,131.23,75.2,83,90,13.87
98,964432,Port Alfred,ZA,-33.59,26.89,57.99,92,65,1.99
99,2629833,Husavik,IS,66.04,-17.34,55.4,71,75,27.51
100,2381334,Atar,MR,20.52,-13.05,111.09,9,0,20.33
101,6089245,Norman Wells,CA,65.28,-126.83,60.8,38,75,12.75
102,2022572,Khatanga,RU,71.97,102.5,45.77,77,100,20.27
103,2074865,Carnarvon,AU,-24.87,113.63,67.21,26,0,17.31
104,5880054,Barrow,US,71.29,-156.79,37.4,71,1,10.29
105,1184249,Attock,PK,33.77,72.36,83.86,34,0,4.7
106,935215,Saint-Philippe,RE,-21.36,55.77,66.43,78,48,12.75
107,1863997,Fukuechō,JP,32.69,128.84,72.32,89,92,11.12
108,3418910,Upernavik,GL,72.79,-56.15,34.54,88,100,2.15
109,3985168,San Patricio,MX,19.22,-104.7,87.8,66,5,5.82
110,2163355,Hobart,AU,-42.88,147.33,55.72,54,90,6.93
111,3420846,Qaqortoq,GL,60.72,-46.03,44.6,52,75,8.05
112,3366880,Hermanus,ZA,-34.42,19.23,55.99,85,60,13.27
113,3874787,Punta Arenas,CL,-53.15,-70.92,39.09,86,40,4.7
114,2629833,Husavik,IS,66.04,-17.34,55.4,71,75,27.51
115,4030556,Rikitea,PF,-23.12,-134.97,75.6,82,61,14.18
116,3369157,Cape Town,ZA,-33.93,18.42,59.0,72,20,6.93
117,2964782,Dingle,IE,52.14,-10.27,62.6,88,40,4.7
118,1502073,Krasnosel'kup,RU,65.7,82.47,44.62,58,71,7.38
119,3833367,Ushuaia,AR,-54.8,-68.3,39.2,80,75,8.05
120,3839307,Rawson,AR,-43.3,-65.1,54.59,48,100,19.71
121,5830007,Lander,US,42.83,-108.73,64.74,25,1,8.05
122,2127060,Arman',RU,59.7,150.17,48.25,73,0,2.62
123,5855927,Hilo,US,19.73,-155.09,69.06,83,75,5.82
124,3134404,Tolga,NO,62.41,11.0,68.0,60,30,13.87
125,2035601,Mergen,CN,49.18,125.22,60.3,75,48,6.13
126,3366880,Hermanus,ZA,-34.42,19.23,55.99,85,60,13.27
127,3500957,La Romana,DO,18.43,-68.97,87.8,66,40,13.87
128,1529569,Changji,CN,44.02,87.32,80.6,24,0,8.95
129,2075265,Busselton,AU,-33.65,115.33,55.6,77,100,5.55
130,777019,Vardø,NO,70.37,31.11,48.2,57,40,29.97
131,5866583,Saint Paul Harbor,US,57.79,-152.41,50.0,81,1,4.94
132,2514651,Los Llanos de Aridane,ES,28.66,-17.92,75.36,57,40,4.7
133,3366880,Hermanus,ZA,-34.42,19.23,55.99,85,60,13.27
134,1056899,Sambava,MG,-14.27,50.17,73.27,81,96,12.66
135,2077963,Albany,AU,-35.02,117.89,57.2,71,90,8.05
136,1282256,Hithadhoo,MV,-0.6,73.08,85.01,75,95,14.16
137,3985168,San Patricio,MX,19.22,-104.7,87.8,66,5,5.82
138,3896218,Castro,CL,-42.47,-73.77,46.58,100,100,6.93
139,986717,Kruisfontein,ZA,-34.0,24.73,53.71,88,96,4.79
140,1488206,Ust'-Ishim,RU,57.69,71.17,50.09,73,3,3.29
141,95788,Hīt,IQ,33.64,42.83,96.48,12,39,10.42
142,4726440,San Juan,US,26.19,-98.16,86.79,62,20,3.11
143,1784648,Zhenhaicun,CN,24.26,118.09,82.4,88,99,6.71
144,778707,Mehamn,NO,71.04,27.85,41.0,86,75,21.94
145,4030556,Rikitea,PF,-23.12,-134.97,75.6,82,61,14.18
146,3356343,Karasburg,NA,-28.02,18.75,50.07,36,0,11.7
147,3659711,Cariamanga,EC,-4.33,-79.55,80.6,42,75,17.22
148,3421982,Maniitsoq,GL,65.42,-52.9,37.11,90,100,10.78
149,3137469,Sørland,NO,67.67,12.69,50.0,76,26,14.99
150,2123979,Kuril'sk,RU,45.23,147.88,50.25,93,100,6.15
